编号,船舶类型,船籍港,船级,航区,长度,型宽,型深,总吨,载重吨,主机型号,主机功率,建成日期,建造船厂,成交日期,交易价格
TRAIN946,自卸砂船,广州,ZC,内河,80,17,5,2059,2980,KTA19-M3,894,12/8/2009,广州市番禺区顺坤船舶修造厂,8/11/2015,387.76
TRAIN947,集装箱船,东莞,ZC,内河,50,13,4,948,1056,KT-19,662,8/6/1999,东莞市莞城水运公司船舶修造厂,8/11/2015,75
TRAIN948,自卸砂船,广州,ZC,内河,57,11,4,753,990,WD615.61C,660,6/25/2001,广西梧州造船厂,8/12/2015,176.47
TRAIN949,高速客船,深圳,CCS,沿海,32,10,4,305,,,2520,6/20/1990,泰国,8/12/2015,52
TRAIN950,汽车渡船,广州,ZC,内河,39,8,2,235,,6135ACa,221,6/1/1984,广东新会造船厂,8/12/2015,18
TRAIN951,散货船,佛山,ZC,内河,60,12,3,800,1230,G128ZLCa1,386,8/20/2012,佛山市三水区西南街誉江船厂,8/17/2015,188
TRAIN952,自卸砂船,清远,ZC,内河,46,8,3,377,432,G128ZLCa1,193,5/31/2012,清远市清城区白庙利民船厂,8/17/2015,66.67
TRAIN953,干货船,云浮,ZC,内河,49,10,3,568,944,6135ACa-1,221,1/12/2007,郁南县都航船舶修造厂,8/17/2015,80
TRAIN954,干货船,云浮,ZC,内河,50,11,3,596,1041,6135ACa,199,6/26/2006,云浮市郁南县都城船舶修造厂,8/17/2015,120.41
TRAIN955,散货船,清远,ZC,内河,36,8,2,185,155,6135ACa,110,3/21/2001,韶关市水运船舶修造厂,8/17/2015,19
TRAIN956,集装箱船,东莞,ZC,沿海,70,16,5,1735,1800,6300ZC3B,1104,3/1/2000,浙江黄岩永顺船舶修造厂,8/17/2015,150
TRAIN957,散货船,清远,ZC,内河,22,4,1,36,36,2135,25,8/10/1995,清远市清城区永利造船厂,8/17/2015,10
TRAIN958,干货船,韶关,ZC,内河,52,11,3,554,830,WD61567C-10,352,6/6/2005,韶关市通能船务有限公司造船厂,8/19/2015,100
TRAIN959,集装箱船,深圳,ZC,沿海,50,13,5,990,1161,X6170ZC-111,706,8/22/2003,浙江温岭市永发船舶修造有限公司,8/19/2015,85
TRAIN960,油船,广州,ZC,沿海,44,7,4,297,400,6160A-13,184,1/1/1994,浙江宁波市北仑船舶修造厂,8/19/2015,35
TRAIN961,自卸砂船,清远,ZC,内河,75,15,4,1598,2370,KTA19-M,746,8/18/2011,广东清远清新县山塘造船厂,8/21/2015,230
TRAIN962,自卸砂船,广州,ZC,内河,52,11,3,598,849,WD61561C-6A,280,2/28/2005,广州花都区航运公司船舶修造厂,8/21/2015,133.33
TRAIN963,集装箱船,惠州,ZC,内河,48,10,3,577,600,CUMMINS,434,3/10/1993,广州增城仙村广空船厂,8/21/2015,72.55
TRAIN964,散货船,广州,ZC,内河,43,9,3,356,500,61C-18,176,1/22/2001,清远市清城海鸿造船厂,8/26/2015,26
TRAIN965,集装箱船,广州,ZC,内河,50,13,4,1137,1200,KT19-M425,576,7/13/1999,浙江温岭市松门先锋船舶修造厂,8/26/2015,80
TRAIN966,集装箱船,广州,ZC,内河,50,13,4,1137,1200,KT19-M425,576,7/13/1999,浙江温岭市松门先锋船舶修造厂,8/26/2015,80
TRAIN967,散货船,清远,ZC,内河,33,8,2,166,133,6135ACa,110,5/6/1999,广东三水市芦苞镇新升造船厂,8/26/2015,48
TRAIN968,干货船,云浮,ZC,内河,69,14,5,1475,2913,YC6T285C,420,11/2/2011,广东郁南县都航船舶修造厂,8/27/2015,300
TRAIN969,散货船,韶关,ZC,内河,74,14,5,1360,2440,WP12C296,436,8/29/2011,韶关市曲江区白土祥兴船厂,8/27/2015,300
TRAIN970,散货船,清远,ZC,内河,49,10,3,460,467,6135ACa,188,7/20/2002,清远市清城区石角镇石岩根龙造船厂,8/28/2015,69.39
TRAIN971,散货船,清远,ZC,内河,52,11,3,598,755,WD61567C-10,352,10/9/2003,清远市附城镇白庙船厂,9/6/2015,75.51
TRAIN972,多用途船,广州,ZC,内河,60,18,6,2794,3500,6190ZLC1-2,436,3/6/2015,江苏连云港五洲船舶重工有限公司,9/10/2015,300
TRAIN973,自卸砂船,广州,ZC,内河,60,13,4,998,1583,X6170ZC-12FA,440,11/18/2002,广州市番禺区横沥裕华船厂,9/10/2015,122.45
TRAIN974,自卸砂船,广州,ZC,内河,58,12,4,948,1270,NTA855-M290,398,9/18/2002,广州市花都区巴江航运公司造船厂,9/10/2015,122.45
TRAIN975,溢油回收船,珠海,ZC,沿海,48,8,4,318,480,6160A-17,199,10/12/1993,浙江舟山市虾峙船厂,9/10/2015,75
TRAIN976,干货船,肇庆,ZC,内河,39,8,2,224,340,WD61561C-6A,140,9/28/2004,广宁县水运公司船机修造厂,9/16/2015,24
TRAIN977,干货船,肇庆,ZC,内河,39,8,2,225,340,NT6135CzD,140,6/2/2004,广宁县水运公司船机修造厂,9/16/2015,34.69
TRAIN978,自卸砂船,肇庆,ZC,内河,63,13,4,1111,1650,WD615.C-25,406,12/29/2000,广州市江村水运公司船厂,9/16/2015,150
TRAIN979,干货船,东莞,ZC,内河,50,13,4,989,998,6160A17,404,7/20/1995,浙江省松门县胜海船舶修造厂,9/16/2015,70
TRAIN980,一般干货船,广州,ZC,内河,50,12,4,875,1790,WD618.C-13,420,12/1/2011,桂平市焱焱造船厂,9/18/2015,100
TRAIN981,多用途船,广州,ZC,内河,50,13,4,997,1174,NTA855-M350,474,5/8/2001,广州市珠江船舶修造厂,9/18/2015,100
TRAIN982,自卸砂船,惠州,ZC,内河,82,19,5,2588,3702,KT38-M,1164,9/28/2014,博罗县园洲镇飞骏船厂,9/23/2015,500
TRAIN983,自卸砂船,东莞,ZC,内河,80,19,5,2537,3746,KT38-M,1164,8/16/2012,东莞市东盛船舶修造有限公司,9/23/2015,400
TRAIN984,一般干货船,广州,ZC,沿海,53,9,4,499,950,Z817GZLCz-30,218,7/2/2007,台州市路桥金清海祥船舶修造有限公司,9/24/2015,125
TRAIN985,自卸砂船,广州,ZC,内河,65,14,4,1325,1919,G128ZLCa2,454,2/28/2003,广东中山金辉船舶修造厂有限公司,9/24/2015,100
TRAIN986,自卸砂船,广州,ZC,内河,73,15,5,1963,3050,YC6T540C,792,11/20/2002,广州市番禺区石楼秀 祥船舶修造厂,9/24/2015,180
TRAIN987,散货船,韶关,ZC,内河,52,10,3,478,761,G128ZCa,311,11/17/2009,韶关市金帆造船有限公司,9/25/2015,90
TRAIN988,干货船,广州,ZC,内河,50,13,4,855,1442,6160A-13G,368,1/19/2006,广州市番禺区石楼番龙船舶修造厂,9/25/2015,139
TRAIN989,干货船,云浮,ZC,内河,49,11,4,592,1127,WD615.61C,280,12/10/2009,广西桂平市兴隆造船厂,9/28/2015,80
TRAIN990,散货船,广州,CS,无限航区,229,32,20,43365,79600,YMD-MAN B&W 7S50MC-C,11060,12/9/2011,南京武家嘴船舶制造有限公司,9/29/2015,6000
TRAIN991,散货船,广州,CS,无限航区,229,32,20,43365,79600,YMD-MAN B&W 7S50MC-C,11060,12/5/2011,南京武家嘴船舶制造有限公司,9/29/2015,6000
TRAIN992,散货船,广州,CS,无限航区,229,32,20,43365,79600,YMD-MAN B&W 7S50MC-C,11060,10/8/2011,南京武家嘴船舶制造有限公司,9/29/2015,6000
TRAIN993,散货船,广州,CS,无限航区,190,32,18,32964,57000,MANB&W6S50MC-C7,9480,9/28/2011,浙江扬帆集团股份有限公司,9/29/2015,5500
TRAIN994,散货船,广州,CS,无限航区,190,32,18,32964,57000,MANB&W6S50MC-C7,9480,8/20/2011,浙江扬帆集团股份有限公司,9/29/2015,5500
TRAIN995,散货船,广州,CS,无限航区,190,32,18,32964,57000,MANB&W6S50MC-C7,9480,6/2/2011,浙江扬帆集团股份有限公司,9/29/2015,5500
TRAIN996,散货船,广州,CS,无限航区,190,32,18,32858,57000,MANB&W6S50MC-C7,9480,12/6/2010,浙江扬帆集团股份有限公司,9/29/2015,4500
TRAIN997,散货船,广州,CS,无限航区,190,32,18,32858,57000,MANB&W6S50MC-C7,9480,11/26/2010,浙江扬帆集团股份有限公司,9/29/2015,4500
TRAIN998,散货船,韶关,ZC,内河,78,14,5,1596,3357,WP12C296,436,7/9/2013,韶关市曲江汇盛船舶修造厂,10/9/2015,400
TRAIN999,多用途船,云浮,ZC,内河,57,12,4,987,1991,WP12C245,360,12/15/2011,广西桂平市社步镇永兴船厂,10/12/2015,163.27
TRAIN1000,集装箱船,惠州,ZC,内河,60,17,5,2275,2495,Z6170ZLCZ-4,700,7/20/2011,浙江温岭礁山船舶修造厂,10/12/2015,500
TRAIN1001,自卸砂船,清远,ZC,内河,66,14,4,1251,1760,R6160ZC275-1,404,11/22/2010,清远市清城区永利造船厂,10/12/2015,363.27
TRAIN1002,干货船,广州,ZC,内河,41,8,3,312,520,G128ZCa,140,12/25/2005,广州市花都区航运公司船舶修造厂,10/13/2015,38
TRAIN1003,集装箱船,东莞,ZC,内河,50,13,5,1258,1625,X6170ZC-3WA,660,4/20/2003,浙江温岭市永发船舶修造有限公司,10/13/2015,78
TRAIN1004,自卸砂船,清远,ZC,内河,51,12,3,599,850,G128ZLCa1,386,9/17/2007,清远市石角镇金利造船厂,10/14/2015,98
TRAIN1005,散货船,清远,ZC,内河,40,8,2,256,218,G128ZCa,140,8/8/2007,清远市清城区石角乘龙造船厂,10/14/2015,81.63
TRAIN1006,自卸砂船,肇庆,ZC,内河,53,12,4,805,950,R6160A-4,368,5/13/2006,清远市清城区永利造船厂,10/14/2015,179.59
TRAIN1007,自卸砂船,惠州,ZC,内河,58,13,4,884,1180,NTA-355-M350,436,11/3/2002,惠州市船舶修造厂,10/14/2015,120
TRAIN1008,自卸砂船,广州,ZC,内河,58,12,4,888,1100,NT855-M300,406,7/16/1993,清远市清城区永利造船厂,10/14/2015,100
TRAIN1009,干货船,广州,ZC,内河,45,8,3,361,623,J6135OZAX,116,12/9/2003,广州市花都区航运公司船舶修造厂,10/15/2015,15
TRAIN1010,甲板货船,广州,CS,近海,116,25,7,4546,7038,6320ZCd-2,2206,6/8/2015,镇江市振兴海洋船舶重工有限公司,10/16/2015,1300
TRAIN1011,甲板货船,广州,CS,近海,108,25,7,5777,7357,LB6250ZLC-6,2000,8/6/2014,镇江市安丰船业有限公司,10/16/2015,1300
TRAIN1012,散货船,中山,ZC,内河,52,11,3,587,844,WD61561C-6A,280,11/20/2003,三水市芦苞镇新升船厂,10/16/2015,48.98
TRAIN1013,自卸砂船,中山,ZC,内河,50,11,3,588,812,WD61561C-6A,280,8/9/2003,清远市清城区石角乘龙造船厂,10/16/2015,59.18
TRAIN1014,散货船,韶关,ZC,内河,69,13,4,995,1593,WP12C296,436,3/21/2014,韶关市曲江汇盛船舶修造厂,10/21/2015,250
TRAIN1015,自卸砂船,清远,ZC,内河,64,14,4,1200,1760,WP12C300,440,4/23/2009,清远市清城区石角黄埔永生造船厂,10/21/2015,312.24
TRAIN1016,干货船,云浮,ZC,内河,57,12,4,995,1994,WD615.68C01N,400,11/20/2011,广西桂平市广信船舶修造厂,10/28/2015,169.39
TRAIN1017,自卸砂船,广州,ZC,内河,68,14,5,1582,2324,KTA19-M600,814,12/12/2002,广州番禺区粤丰船舶修造厂,10/28/2015,186.27
TRAIN1018,自卸砂船,肇庆,ZC,内河,54,12,3,780,940,6D22-1A,397,8/27/1999,广州市花都区航运公司船舶修造厂,10/28/2015,100
TRAIN1019,自卸砂船,惠州,ZC,内河,81,16,4,1933,3175,G128ZLCa,360,7/16/2015,博罗县园洲镇宇航船舶建造厂,11/2/2015,700
TRAIN1020,自卸砂船,韶关,ZC,内河,50,10,3,500,388,6135JZCaf,121,11/1/2004,韶关曲江县白土祥兴船厂,11/2/2015,100
TRAIN1021,自卸砂船,清远,ZC,内河,84,19,5,2917,5161,KT38-M,1164,12/24/2013,清远市盈海达造船有限公司,11/3/2015,500
TRAIN1022,自卸砂船,清远,ZC,内河,84,19,5,2912,5161,KT38-M,1164,12/2/2013,清远市盈海达造船有限公司,11/3/2015,500
TRAIN1023,干货船,云浮,ZC,内河,57,12,4,990,2000,WP12C245,360,4/18/2012,广西桂平市港鸿船厂,11/6/2015,169.39
TRAIN1024,自卸砂船,清远,ZC,内河,65,14,4,1231,1827,WP12C300,440,10/17/2008,清远市山塘水运公司船舶修造厂,11/6/2015,270
TRAIN1025,自卸砂船,东莞,ZC,内河,70,14,4,1382,2300,G128ZLCa2,454,12/29/2007,清远市清城区永利造船厂,11/6/2015,200
TRAIN1026,干货船,惠州,ZC,内河,50,13,4,889,960,NT855-M300,404,12/29/1998,浙江温岭远洋船舶修造厂,11/6/2015,80
TRAIN1027,干货船,肇庆,ZC,内河,42,8,3,299,487,6135ACa,87,6/2/1996,高要市金利海口水运公司船舶修造厂,11/6/2015,25
TRAIN1028,油船,深圳,ZC,内河,49,11,4,529,800,NTA-855-M350,474,9/28/1992,广东肇庆西江船厂,11/6/2015,39
TRAIN1029,散货船,清远,ZC,内河,86,17,5,2552,2842,6M26C298E201,436,7/21/2015,清远市清城区石角乘龙造船厂,11/9/2015,842.86
TRAIN1030,散货船,韶关,ZC,内河,53,12,3,593,810,G128ZLCa1,280,12/3/2007,韶关市豪江船舶修造厂,11/9/2015,100
TRAIN1031,干货船,东莞,ZC,内河,50,10,4,567,820,NTA-855-M,402,12/6/1998,广东东莞莞城水运公司船舶修造厂,11/9/2015,58
TRAIN1032,油船,佛山,ZC,内河,52,9,3,476,732,6135ACa,221,12/9/2005,佛山市南海珠峰船厂有限公司,11/10/2015,113
TRAIN1033,干货船,广州,ZC,内河,36,8,2,198,250,NT6135CzR,121,8/18/1999,广州市花都区赤坭迅运船舶修造厂,11/10/2015,20
TRAIN1034,散货船,清远,ZC,内河,36,8,2,196,275,6135Ca,88,4/26/1994,广东英德市水运一公司船厂,11/10/2015,10
TRAIN1035,自卸砂船,惠州,ZC,内河,84,18,5,2785,4715,KT38-M,1164,3/5/2013,博罗县园洲镇宇航船舶建造厂,11/16/2015,600
TRAIN1036,自卸砂船,惠州,ZC,内河,90,20,5,3156,5470,KT38-M,1164,1/27/2013,博罗县园洲镇宇航船舶建造厂,11/16/2015,800
TRAIN1037,自卸砂船,清远,ZC,内河,100,20,5,3967,6859,KTA38-M2,1790,10/18/2011,清远市清城区石角黄埔永生造船厂,11/16/2015,1246.94
TRAIN1038,游艇,广州,CCS,沿海,11,5,2,41,,H06CT,220,1/1/1992,江华工程有限公司,11/16/2015,50
TRAIN1039,客渡船,广州,ZC,内河,21,6,2,113,,6135Ca,84,4/30/1984,中山市粤中船厂,11/16/2015,4
TRAIN1040,客渡船,广州,ZC,内河,21,6,2,114,,6135Caf,84,4/30/1984,中山市粤中船厂,11/16/2015,4
TRAIN1041,客渡船,广州,ZC,内河,21,6,2,114,,6135Caf,84,2/29/1984,中山市粤中船厂,11/16/2015,4
TRAIN1042,客渡船,广州,ZC,内河,21,6,2,113,,6135Ca,84,8/1/1982,中山市粤中船厂,11/16/2015,4
TRAIN1043,自卸砂船,清远,ZC,内河,50,12,3,599,780,G128ZLCa1,280,3/11/2005,清远市清城区石角乘龙造船厂,11/19/2015,116.33
TRAIN1044,干货船,肇庆,ZC,内河,75,14,5,1539,3127,WP12C296,436,10/15/2014,高要市建航船舶修造有限公司,11/20/2015,490.2
TRAIN1045,干货船,肇庆,ZC,内河,62,13,4,997,1935,WD618.C-13,420,8/31/2011,德庆县荣业船舶有限公司,11/20/2015,319.61
TRAIN1046,多用途船,广州,ZC,内河,50,16,6,1696,2352,Z6170ZLCZ-9,800,12/28/2010,江苏连云港五洲船舶重工有限公司,11/20/2015,403
TRAIN1047,自卸砂船,广州,ZC,内河,86,19,5,2531,4288,KT38-M,1058,7/18/2008,广州市番禺区石楼秀祥船舶修造厂,11/20/2015,666.67
TRAIN1048,干货船,广州,ZC,沿海,53,9,4,498,950,6190ZLC1-2,218,11/20/2007,温岭市温东船舶修造厂,11/20/2015,360
TRAIN1049,集装箱船,广州,ZC,内河,50,10,4,777,864,R6160ZC4,440,11/14/2006,浙江天时造船有限公司,11/20/2015,142.86
TRAIN1050,干货船,广州,ZC,沿海,52,9,4,497,924,6190ZLC1-2,218,11/3/2005,温岭市礁山船舶修造厂,11/20/2015,350
TRAIN1051,干货船,宁德,CS,沿海,53,9,4,499,980,6190ZLC1-2,218,5/10/2005,浙江省温岭市东舟船舶修造厂,11/20/2015,380
TRAIN1052,集装箱船,惠州,ZC,内河,50,10,3,643,699,X6160ZC,440,6/28/1999,温岭市胜海船舶修造有限公司,11/20/2015,80
TRAIN1053,干货船,惠州,ZC,内河,46,12,3,593,768,NTC-350,434,5/10/1993,清远石角黄埔船厂,11/20/2015,79.59
TRAIN1054,集装箱船,惠州,ZC,内河,48,10,3,564,757,NTA-855-M350,430,4/1/1993,广西柳州航务工程处船厂,11/20/2015,79.59
TRAIN1055,干货船,广州,ZC,内河,62,12,4,959,1248,NTA-250,334,12/30/1992,南京高淳船厂,11/20/2015,20
TRAIN1056,自卸砂船,清远,ZC,内河,77,16,4,1577,2659,KTA19-M3,894,7/13/2009,清远市清新县山塘造船厂,11/24/2015,410.2
TRAIN1057,集装箱船,广州,ZC,内河,50,12,4,855,960,WD615.67C-10B,352,2/24/2003,广西贵港市船厂,11/24/2015,100
TRAIN1058,自卸砂船,清远,ZC,内河,68,14,4,1359,2092,YC6T285C,420,2/4/2010,清远市清城区永利造船厂,11/26/2015,380
TRAIN1059,自卸砂船,广州,ZC,内河,70,16,4,1518,2288,KT19-M,576,9/23/2008,广州市番禺区顺坤船舶修造厂,11/26/2015,350
TRAIN1060,干货船,韶关,ZC,内河,53,12,3,593,894,WD615.68C-21,394,1/23/2006,韶关市豪江船舶修造厂,11/27/2015,100
TRAIN1061,散货船,韶关,ZC,内河,60,12,4,858,1650,WD615.46C-11,410,12/14/2012,韶关市金帆造船有限公司,12/1/2015,250
TRAIN1062,自卸砂船,清远,ZC,内河,90,17,5,2649,4147,8170ZC-3,1202,9/13/2011,清远市清城区石角乘龙造船厂,12/1/2015,620
TRAIN1063,自卸砂船,肇庆,ZC,内河,63,14,4,1206,1800,X6170ZC-12CB,404,12/10/2004,广西藤县濛江金星船舶修造厂,12/1/2015,110
TRAIN1064,干货船,江门,ZC,内河,49,12,4,619,885,6160A-11,248,11/18/1994,广东省江门市蓬江区船厂,12/1/2015,65
TRAIN1065,自卸砂船,清远,ZC,内河,98,20,6,3736,6356,KT38-M,1164,5/22/2012,清远市山塘水运公司船舶修造厂,12/2/2015,680
TRAIN1066,自卸砂船,东莞,ZC,内河,77,16,4,2038,3189,KTA19-M3,894,1/12/2012,东莞市南祥造船有限公司,12/2/2015,367.35
TRAIN1067,集装箱船,广州,ZC,内河,50,15,4,1326,1728,X6170ZC-112,706,1/17/2007,温岭市远洋船舶修造厂,12/2/2015,100
TRAIN1068,集装箱船,广州,ZC,内河,50,15,4,1326,1728,X6170ZC-111,706,1/17/2007,温岭市远洋船舶修造厂,12/2/2015,100
TRAIN1069,集装箱船,广州,ZC,内河,50,13,4,998,1200,Z6170ZLCZ-1,436,1/16/2007,温岭市兴源船舶修造有限公司,12/2/2015,100
TRAIN1070,集装箱船,广州,ZC,内河,50,48,49,1201,1152,Z6170ZLCZ-1,436,1/4/2007,浙江天时造船有限公司,12/2/2015,100
TRAIN1071,集装箱船,广州,ZC,内河,50,16,5,1455,1872,X6170ZC-111,706,11/5/2006,浙江天时造船有限公司,12/2/2015,100
TRAIN1072,集装箱船,广州,ZC,内河,50,16,5,1490,1896,X6170ZC-111,706,8/19/2006,温岭市箬山繁荣船舶修造厂,12/2/2015,100
TRAIN1073,干货船,广州,ZC,内河,36,8,2,198,250,6135ACa,110,8/8/1999,广州市花都区赤坭迅运船舶修造厂,12/2/2015,20
TRAIN1074,自卸砂船,广州,ZC,内河,75,16,5,1598,2500,KTA19-M500,678,1/18/2006,佛山市高明区荷城力丰造船厂,12/3/2015,200
TRAIN1075,自卸砂船,广州,ZC,内河,50,12,3,598,450,G128ZLCa,374,8/18/2005,清远市山塘水运公司船舶修造厂,12/3/2015,113.33
TRAIN1076,集装箱船,广州,ZC,内河,50,13,4,998,998,X6170ZC-15W,660,3/10/2005,浙江台州中车集团台州第七八一六工厂,12/3/2015,200
TRAIN1077,自卸砂船,广州,ZC,内河,73,15,4,1575,2364,YC6T300C,960,8/24/2004,广州市白云区穗江船舶修造厂,12/3/2015,244.9
TRAIN1078,集装箱船,广州,ZC,内河,50,11,4,773,768,X6160ZC5A,440,7/3/2003,番禺胜海船舶修造有限公司,12/3/2015,150
TRAIN1079,干货船,肇庆,ZC,内河,39,8,3,270,448,6135K-1,110,6/20/1994,不详,12/3/2015,25
TRAIN1080,油船,湛江,ZC,沿海,53,9,4,496,904,Z6170ZLCZ-1A,218,4/11/2013,温岭市新建船舶修造厂,12/7/2015,680
TRAIN1081,自卸砂船,清远,ZC,内河,68,15,4,1395,2134,KTA19-M3,814,2/1/2008,清远市附城镇白庙船厂,12/7/2015,180
TRAIN1082,干货船,韶关,ZC,内河,47,9,3,386,325,WD61561C-6A,140,1/7/2004,韶关市曲江县白土祥兴船厂,12/8/2015,73
TRAIN1083,自卸砂船,广州,ZC,内河,71,15,4,1421,2172,KT19-M,634,6/21/2010,广州市秀祥船舶制造有限公司,12/9/2015,352.94
TRAIN1084,自卸砂船,广州,ZC,内河,66,15,4,1315,1999,WP12C300,440,12/8/2009,广州市番禺区顺翔船舶修造厂,12/9/2015,294.12
TRAIN1085,自卸砂船,广州,ZC,内河,70,16,4,1499,2315,KT19-M,576,7/21/2008,广州市番禺区石楼秀祥船舶修造厂,12/9/2015,268
TRAIN1086,自卸砂船,广州,ZC,内河,75,15,4,1579,2428,KTA19-M470,636,12/8/2005,广州市番禺区石楼秀祥船舶修造厂,12/9/2015,166.67
TRAIN1087,自卸砂船,广州,ZC,内河,70,15,5,1727,2366,KTA19-M600,814,3/15/2004,广州市番禺区粤丰船舶修造厂,12/9/2015,200
TRAIN1088,集装箱船,广州,ZC,内河,50,15,4,1375,1595,X6170ZC-1AA,660,1/14/2004,浙江温岭市合兴船舶修造厂,12/9/2015,196.08
TRAIN1089,干货船,清远,ZC,内河,34,7,2,148,130,6135ACA,110,11/28/1998,韶关曲江犁市船舶修造厂,12/11/2015,10.2
TRAIN1090,自卸砂船,广州,ZC,内河,92,20,5,2994,5317,KT38-M,1164,11/15/2012,广州市秀祥船舶制造有限公司,12/14/2015,600
TRAIN1091,干货船,肇庆,ZC,内河,57,13,4,955,1675,R6160ZC4,440,9/26/2007,江都市建业造船厂,12/14/2015,200
TRAIN1092,集装箱船,广州,ZC,内河,50,16,5,1455,1872,X6170ZC-111,706,11/5/2006,浙江天时造船有限公司,12/14/2015,186
TRAIN1093,集装箱船,广州,ZC,内河,50,16,5,1455,1872,X6170ZC-111,706,11/5/2006,浙江天时造船有限公司,12/14/2015,186
TRAIN1094,多用途船,广州,ZC,近海,116,17,8,5040,7300,8320ZCd-6,2060,12/6/2005,浙江省温岭市松门先锋船舶修造厂,12/14/2015,638
TRAIN1095,干货船,云浮,ZC,内河,48,10,3,501,833,WD618C-26,140,12/4/2005,贵港市港宁造船有限公司,12/14/2015,70
TRAIN1096,干货船,韶关,ZC,内河,52,10,3,523,822,6135AZCa,138,6/30/2006,韶关市豪江船舶修造厂,12/15/2015,90
TRAIN1097,油船,宁波,ZC,近海,85,12,6,1644,2384,8300ZLCA,735,10/23/2005,温州市欣万宇船业有限公司,12/15/2015,458
TRAIN1098,干货船,肇庆,ZC,内河,41,8,2,218,294,6135T-1,88,2/22/1995,广宁县水运公司船机修造厂,12/15/2015,15
TRAIN1099,干货船,肇庆,ZC,内河,39,8,2,197,301,6135,88,10/13/1994,怀集县水运船厂,12/15/2015,15
TRAIN1100,干货船,肇庆,ZC,内河,39,8,2,221,375,6135,88,7/13/1994,广宁县水运公司船机修造厂,12/15/2015,15
TRAIN1101,干货船,肇庆,ZC,内河,39,8,2,198,280,6135Ca,88,4/8/1994,广宁县水运公司船机修造厂,12/15/2015,15
TRAIN1102,干货船,肇庆,ZC,内河,41,8,2,233,364,6135Ca,88,3/29/1994,广宁县水运公司船机修造厂,12/15/2015,15
TRAIN1103,干货船,肇庆,ZC,内河,39,8,2,212,315,6135Ca,84,1/9/1994,怀集县水运船厂,12/15/2015,15
TRAIN1104,干货船,肇庆,ZC,内河,39,8,2,220,280,6135Ca,88,1/6/1994,广宁县水运公司船机修造厂,12/15/2015,15
TRAIN1105,干货船,肇庆,ZC,内河,39,8,2,205,260,6135,88,5/19/1989,怀集县造船厂,12/15/2015,15
TRAIN1106,客渡船,广州,ZC,内河,14,4,1,28,5,2135Ca,25,10/21/2005,广州市番禺区石楼沙北海鸥船舶修理厂,12/17/2015,5
TRAIN1107,客渡船,广州,ZC,内河,14,4,1,28,5,2135Ca,25,10/21/2005,广州市番禺区石楼沙北海鸥船舶修理厂,12/17/2015,5
TRAIN1108,干货船,福州,CS,近海,96,14,7,2813,4753,G8300ZC16BH,1765,1/20/2005,浙江省乐清市黄华船舶修造有限公司,12/17/2015,564
TRAIN1109,干货船,福州,CS,近海,98,16,7,2983,5010,G8300ZC16BH,1765,11/8/2004,浙江省乐清市奥泰船业制造有限公司,12/17/2015,609
TRAIN1110,干货船,福州,CS,近海,94,14,7,2547,4101,G6300ZC14BH,1323,12/7/2003,浙江省乐清市东港船舶有限公司,12/17/2015,458
TRAIN1111,干货船,福州,CS,近海,89,13,7,2376,3800,G6300ZC6BH,735,11/20/2002,浙江省乐清市威华船舶修造有限公司,12/17/2015,463
TRAIN1112,客渡船,广州,ZC,内河,15,4,1,43,0,2135Ca,25,10/23/2002,广州市番禺兴华造船有限公司,12/17/2015,5
TRAIN1113,自卸砂船,广州,ZC,内河,56,12,4,850,1031,G128C,257,1/23/2002,广东台山市交通造船厂,12/17/2015,176.47
TRAIN1114,自卸砂船,惠州,ZC,内河,70,15,4,1652,2157,KTA19-M500,800,1/13/2008,广东惠州市潼湖志发实业有限公司,12/21/2015,250
TRAIN1115,集装箱船,广州,ZC,内河,72,19,5,2759,3456,8170ZC-12B,1060,1/30/2005,广西桂平船厂,12/21/2015,200
TRAIN1116,干货船,云浮,ZC,内河,41,9,3,352,572,6135ACa,110,12/26/2000,广西桂平船厂,12/21/2015,48.98
TRAIN1117,多用途船,广州,ZC,内河,50,13,4,980,1056,6160A-13,328,3/1/2000,广西南宁造船厂,12/21/2015,20
TRAIN1118,散货船,广州,ZC,内河,83,17,5,2324,3627,KTA19-M3,894,9/5/2014,广州市白云区穗江船舶修造厂,12/22/2015,300
TRAIN1119,自卸砂船,广州,ZC,内河,73,15,4,1575,2400,KTA19-M640,868,7/6/2005,广州市番禺区粤丰船舶修造厂,12/23/2015,352.94
TRAIN1120,自卸砂船,广州,ZC,内河,70,15,5,1720,2648,KT19-M425,576,1/8/2004,广州番禺区横沥裕华船厂,12/23/2015,352.94
TRAIN1121,散货船,清远,ZC,内河,75,14,4,1595,2137,WP12C296,436,11/8/2013,清远市清城区石角乘龙造船厂,12/24/2015,534
TRAIN1122,集装箱船,广州,ZC,内河,50,13,4,998,1080,Z6170ZLCZ-3,660,5/16/2006,浙江振兴船舶修造有限公司,12/24/2015,200
TRAIN1123,多用途船,广州,CS,近海,97,16,8,2983,4413,8320ZCd-6,2060,9/7/2005,温岭市远洋船舶修造厂,12/24/2015,826
TRAIN1124,集装箱船,广州,ZC,内河,50,13,5,998,1150,Z6170ZLCZ-3,660,4/30/2005,温岭市合兴船舶修造厂,12/24/2015,248.98
TRAIN1125,自卸砂船,广州,ZC,内河,65,13,4,1322,1969,NT855-M300,406,12/1/2003,清远市北江船厂,12/24/2015,182.22
