日期,造船板价格,城市
2014/1/2,3980,上海
2014/1/3,3980,上海
2014/1/6,3980,上海
2014/1/7,3980,上海
2014/1/8,3960,上海
2014/1/9,3930,上海
2014/1/10,3930,上海
2014/1/13,3930,上海
2014/1/14,3930,上海
2014/1/15,3930,上海
2014/1/16,3910,上海
2014/1/17,3910,上海
2014/1/20,3910,上海
2014/1/21,3910,上海
2014/1/22,3910,上海
2014/1/23,3910,上海
2014/1/24,3910,上海
2014/1/26,3910,上海
2014/1/27,3910,上海
2014/1/28,3910,上海
2014/1/29,3910,上海
2014/1/30,3910,上海
2014/2/7,3910,上海
2014/2/8,3910,上海
2014/2/10,3930,上海
2014/2/11,3930,上海
2014/2/12,3930,上海
2014/2/13,3930,上海
2014/2/14,3930,上海
2014/2/17,3930,上海
2014/2/18,3950,上海
2014/2/19,3950,上海
2014/2/20,3930,上海
2014/2/21,3930,上海
2014/2/24,3930,上海
2014/2/25,3930,上海
2014/2/26,3930,上海
2014/2/27,3930,上海
2014/2/28,3930,上海
2014/3/4,3910,上海
2014/3/5,3910,上海
2014/3/6,3910,上海
2014/3/7,3910,上海
2014/3/10,3910,上海
2014/3/11,3910,上海
2014/3/12,3870,上海
2014/3/13,3870,上海
2014/3/14,3870,上海
2014/3/17,3870,上海
2014/3/18,3870,上海
2014/3/19,3870,上海
2014/3/20,3870,上海
2014/3/21,3870,上海
2014/3/24,3870,上海
2014/3/25,3870,上海
2014/3/26,3870,上海
2014/3/27,3870,上海
2014/3/28,3870,上海
2014/3/31,3870,上海
2014/4/1,3890,上海
2014/4/2,3890,上海
2014/4/3,3890,上海
2014/4/4,3890,上海
2014/4/8,3890,上海
2014/4/9,3920,上海
2014/4/10,3920,上海
2014/4/11,3920,上海
2014/4/14,3920,上海
2014/4/15,3920,上海
2014/4/16,3920,上海
2014/4/17,3920,上海
2014/4/18,3920,上海
2014/4/22,3900,上海
2014/4/23,3890,上海
2014/4/24,3890,上海
2014/4/25,3890,上海
2014/4/28,3890,上海
2014/4/29,3890,上海
2014/4/30,3890,上海
2014/5/4,3890,上海
2014/5/5,3890,上海
2014/5/6,3890,上海
2014/5/7,3890,上海
2014/5/8,3890,上海
2014/5/9,3890,上海
2014/5/12,3890,上海
2014/5/13,3890,上海
2014/5/14,3890,上海
2014/5/15,3890,上海
2014/5/16,3870,上海
2014/5/19,3870,上海
2014/5/20,3870,上海
2014/5/21,3870,上海
2014/5/22,3870,上海
2014/5/23,3870,上海
2014/5/26,3870,上海
2014/5/27,3870,上海
2014/5/28,3870,上海
2014/5/29,3870,上海
2014/5/30,3870,上海
2014/6/3,3870,上海
2014/6/4,3870,上海
2014/6/5,3860,上海
2014/6/6,3860,上海
2014/6/9,3860,上海
2014/6/10,3860,上海
2014/6/11,3860,上海
2014/6/12,3840,上海
2014/6/13,3840,上海
2014/6/16,3840,上海
2014/6/17,3840,上海
2014/6/18,3840,上海
2014/6/19,3830,上海
2014/6/20,3830,上海
2014/6/23,3830,上海
2014/6/24,3830,上海
2014/6/25,3830,上海
2014/6/26,3830,上海
2014/6/27,3830,上海
2014/6/30,3830,上海
2014/7/1,3830,上海
2014/7/2,3830,上海
2014/7/3,3830,上海
2014/7/4,3830,上海
2014/7/7,3830,上海
2014/7/8,3830,上海
2014/7/9,3830,上海
2014/7/10,3830,上海
2014/7/11,3830,上海
2014/7/14,3830,上海
2014/7/15,3830,上海
2014/7/16,3830,上海
2014/7/17,3830,上海
2014/7/18,3830,上海
2014/7/21,3800,上海
2014/7/22,3780,上海
2014/7/23,3780,上海
2014/7/24,3780,上海
2014/7/25,3780,上海
2014/7/28,3780,上海
2014/7/29,3780,上海
2014/7/30,3780,上海
2014/7/31,3750,上海
2014/8/1,3730,上海
2014/8/4,3700,上海
2014/8/5,3700,上海
2014/8/6,3700,上海
2014/8/7,3700,上海
2014/8/8,3700,上海
2014/8/11,3700,上海
2014/8/12,3700,上海
2014/8/13,3700,上海
2014/8/14,3700,上海
2014/8/15,3700,上海
2014/8/18,3680,上海
2014/8/19,3680,上海
2014/8/20,3680,上海
2014/8/21,3640,上海
2014/8/22,3630,上海
2014/8/25,3630,上海
2014/8/26,3600,上海
2014/8/27,3600,上海
2014/8/28,3600,上海
2014/8/29,3600,上海
2014/9/1,3580,上海
2014/9/2,3580,上海
2014/9/3,3580,上海
2014/9/4,3560,上海
2014/9/5,3560,上海
2014/9/9,3560,上海
2014/9/10,3560,上海
2014/9/11,3560,上海
2014/9/12,3540,上海
2014/9/15,3540,上海
2014/9/16,3540,上海
2014/9/17,3560,上海
2014/9/18,3560,上海
2014/9/19,3560,上海
2014/9/22,3530,上海
2014/9/23,3530,上海
2014/9/24,3530,上海
2014/9/25,3480,上海
2014/9/26,3480,上海
2014/9/28,3480,上海
2014/9/29,3480,上海
2014/9/30,3480,上海
2014/10/8,3480,上海
2014/10/9,3480,上海
2014/10/10,3480,上海
2014/10/11,3490,上海
2014/10/13,3490,上海
2014/10/14,3550,上海
2014/10/15,3550,上海
2014/10/16,3550,上海
2014/10/17,3550,上海
2014/10/20,3550,上海
2014/10/21,3530,上海
2014/10/22,3530,上海
2014/10/23,3490,上海
2014/10/24,3490,上海
2014/10/27,3490,上海
2014/10/28,3480,上海
2014/10/29,3480,上海
2014/10/30,3460,上海
2014/10/31,3460,上海
2014/11/3,3440,上海
2014/11/4,3430,上海
2014/11/5,3430,上海
