日期,造船板价格,城市
2008/8/27,6700,上海
2008/8/28,6700,上海
2008/8/29,6700,上海
2008/9/1,6700,上海
2008/9/2,6700,上海
2008/9/3,6700,上海
2008/9/4,6700,上海
2008/9/5,6700,上海
2008/9/8,6600,上海
2008/9/9,6600,上海
2008/9/10,6600,上海
2008/9/11,6600,上海
2008/9/12,6600,上海
2008/9/16,6600,上海
2008/9/17,6600,上海
2008/9/18,6600,上海
2008/9/19,6600,上海
2008/9/22,6600,上海
2008/9/23,6500,上海
2008/9/24,6500,上海
2008/9/25,6500,上海
2008/9/26,6200,上海
2008/9/27,6200,上海
2008/9/28,6200,上海
2008/10/6,6200,上海
2008/10/7,6000,上海
2008/10/8,5900,上海
2008/10/9,5900,上海
2008/10/10,5900,上海
2008/10/13,5700,上海
2008/10/14,5500,上海
2008/10/15,5500,上海
2008/10/16,5500,上海
2008/10/17,5500,上海
2008/10/20,5200,上海
2008/10/21,5200,上海
2008/10/22,5100,上海
2008/10/23,5100,上海
2008/10/24,4900,上海
2008/10/27,4900,上海
2008/10/28,4850,上海
2008/10/29,4850,上海
2008/10/30,4850,上海
2008/10/31,4800,上海
2008/11/3,4800,上海
2008/11/4,4750,上海
2008/11/5,4550,上海
2008/11/6,4500,上海
2008/11/7,4450,上海
2008/11/10,4300,上海
2008/11/11,4300,上海
2008/11/12,4200,上海
2008/11/13,4100,上海
2008/11/14,4100,上海
2008/11/17,4100,上海
2008/11/18,4050,上海
2008/11/19,4000,上海
2008/11/20,4050,上海
2008/11/21,4050,上海
2008/11/24,4000,上海
2008/11/25,4000,上海
2008/11/26,4000,上海
2008/11/27,4000,上海
2008/11/28,4000,上海
2008/12/1,4000,上海
2008/12/2,4000,上海
2008/12/3,4000,上海
2008/12/4,4000,上海
2008/12/5,4000,上海
2008/12/8,4000,上海
2008/12/9,3950,上海
2008/12/10,3850,上海
2008/12/11,3850,上海
2008/12/12,3850,上海
2008/12/15,3850,上海
2008/12/16,3850,上海
2008/12/17,3850,上海
2008/12/18,3850,上海
2008/12/19,3850,上海
2008/12/22,3850,上海
2008/12/23,3850,上海
2008/12/25,3850,上海
2008/12/26,3850,上海
2008/12/29,3850,上海
2008/12/30,3850,上海
2008/12/31,3850,上海
2009/1/4,3850,上海
2009/1/5,3850,上海
2009/1/6,3850,上海
2009/1/7,3850,上海
2009/1/8,3950,上海
2009/1/9,3950,上海
2009/1/12,3950,上海
2009/1/13,3950,上海
2009/1/14,3950,上海
2009/1/15,3950,上海
2009/1/16,3950,上海
2009/1/19,3950,上海
2009/1/20,3950,上海
2009/1/21,3950,上海
2009/1/22,3950,上海
2009/1/23,3950,上海
2009/2/1,3950,上海
2009/2/2,3950,上海
2009/2/3,4000,上海
2009/2/4,4000,上海
2009/2/5,4000,上海
2009/2/6,4000,上海
2009/2/9,4000,上海
2009/2/10,4000,上海
2009/2/11,4000,上海
2009/2/12,4000,上海
2009/2/13,4000,上海
2009/2/16,3950,上海
2009/2/17,3950,上海
2009/2/18,3950,上海
2009/2/19,3900,上海
2009/2/20,3900,上海
2009/2/23,3900,上海
2009/2/24,3900,上海
2009/2/25,3900,上海
2009/2/26,3900,上海
2009/2/27,3900,上海
2009/3/2,3850,上海
2009/3/3,3850,上海
2009/3/4,3850,上海
2009/3/5,3850,上海
2009/3/6,3850,上海
2009/3/9,3850,上海
2009/3/10,3850,上海
2009/3/11,3800,上海
2009/3/12,3800,上海
2009/3/13,3780,上海
2009/3/16,3780,上海
2009/3/17,3780,上海
2009/3/18,3780,上海
2009/3/19,3780,上海
2009/3/20,3780,上海
2009/3/23,3750,上海
2009/3/24,3750,上海
2009/3/25,3750,上海
2009/3/26,3750,上海
2009/3/27,3750,上海
2009/3/30,3720,上海
2009/3/31,3720,上海
2009/4/1,3720,上海
2009/4/2,3700,上海
2009/4/3,3700,上海
2009/4/7,3650,上海
2009/4/8,3650,上海
2009/4/9,3650,上海
2009/4/10,3650,上海
2009/4/13,3650,上海
2009/4/14,3650,上海
2009/4/15,3650,上海
2009/4/16,3650,上海
2009/4/17,3650,上海
2009/4/20,3650,上海
2009/4/21,3650,上海
2009/4/22,3650,上海
2009/4/23,3650,上海
2009/4/24,3650,上海
2009/4/27,3620,上海
2009/4/28,3620,上海
2009/4/29,3620,上海
2009/4/30,3620,上海
2009/5/4,3620,上海
2009/5/5,3620,上海
2009/5/6,3600,上海
2009/5/7,3600,上海
2009/5/8,3600,上海
2009/5/11,3600,上海
2009/5/12,3600,上海
2009/5/13,3600,上海
2009/5/14,3600,上海
2009/5/15,3600,上海
2009/5/18,3600,上海
2009/5/19,3600,上海
2009/5/20,3600,上海
2009/5/21,3600,上海
2009/5/22,3600,上海
2009/5/25,3600,上海
2009/5/26,3600,上海
2009/5/27,3600,上海
2009/5/31,3600,上海
2009/6/1,3650,上海
2009/6/2,3650,上海
2009/6/3,3650,上海
2009/6/4,3620,上海
2009/6/5,3620,上海
2009/6/8,3620,上海
2009/6/9,3620,上海
2009/6/10,3620,上海
2009/6/11,3620,上海
2009/6/12,3620,上海
2009/6/15,3620,上海
2009/6/16,3650,上海
2009/6/17,3650,上海
2009/6/18,3650,上海
2009/6/19,3650,上海
2009/6/22,3700,上海
2009/6/23,3720,上海
2009/6/24,3720,上海
2009/6/25,3750,上海
2009/6/26,3750,上海
2009/6/29,3800,上海
2009/6/30,3800,上海
2009/7/1,3800,上海
2009/7/2,3800,上海
2009/7/3,3800,上海
2009/7/6,3800,上海
2009/7/7,3800,上海
2009/7/8,3800,上海
2009/7/9,3800,上海
2009/7/10,3800,上海
2009/7/13,3800,上海
2009/7/14,3850,上海
2009/7/15,3850,上海
2009/7/16,3900,上海
2009/7/17,3900,上海
2009/7/20,3930,上海
2009/7/21,3930,上海
2009/7/22,3950,上海
2009/7/23,3950,上海
2009/7/24,3950,上海
2009/7/27,4000,上海
2009/7/28,4030,上海
2009/7/29,4030,上海
2009/7/30,4100,上海
2009/7/31,4150,上海
2009/8/3,4300,上海
2009/8/4,4350,上海
2009/8/5,4350,上海
2009/8/6,4350,上海
2009/8/7,4350,上海
2009/8/10,4330,上海
2009/8/11,4300,上海
2009/8/12,4300,上海
2009/8/13,4300,上海
2009/8/14,4300,上海
2009/8/17,4300,上海
2009/8/18,4280,上海
2009/8/19,4250,上海
2009/8/20,4250,上海
2009/8/21,4250,上海
2009/8/24,4250,上海
2009/8/25,4220,上海
2009/8/26,4220,上海
2009/8/27,4220,上海
2009/8/28,4220,上海
2009/8/31,4220,上海
2009/9/1,4200,上海
2009/9/2,4170,上海
2009/9/3,4150,上海
2009/9/4,4150,上海
2009/9/7,4150,上海
2009/9/8,4120,上海
2009/9/9,4120,上海
2009/9/10,4120,上海
2009/9/11,4120,上海
2009/9/14,4100,上海
2009/9/15,4100,上海
2009/9/16,4100,上海
2009/9/17,4050,上海
2009/9/18,4020,上海
2009/9/21,4020,上海
2009/9/22,4020,上海
2009/9/23,4000,上海
2009/9/24,4000,上海
2009/9/25,3980,上海
2009/9/27,3980,上海
2009/9/28,3980,上海
2009/9/29,3980,上海
2009/9/30,3980,上海
2009/10/9,3980,上海
2009/10/10,3980,上海
2009/10/12,3900,上海
2009/10/13,3900,上海
2009/10/14,3900,上海
2009/10/15,3900,上海
2009/10/16,3900,上海
2009/10/19,3900,上海
2009/10/20,3900,上海
2009/10/21,3900,上海
2009/10/22,3900,上海
2009/10/23,3900,上海
2009/10/26,3900,上海
2009/10/27,3920,上海
2009/10/28,3920,上海
2009/10/29,3920,上海
2009/10/30,3920,上海
2009/11/2,3920,上海
2009/11/3,3920,上海
2009/11/4,3920,上海
2009/11/5,3920,上海
2009/11/6,3920,上海
2009/11/9,3940,上海
2009/11/10,3970,上海
2009/11/11,3970,上海
2009/11/12,3970,上海
2009/11/13,3970,上海
2009/11/16,3970,上海
2009/11/17,3970,上海
2009/11/18,3970,上海
2009/11/19,3970,上海
2009/11/20,3970,上海
2009/11/23,3970,上海
2009/11/24,3970,上海
2009/11/25,4000,上海
2009/11/26,4000,上海
2009/11/27,4000,上海
2009/11/30,4000,上海
2009/12/1,4000,上海
2009/12/2,4000,上海
2009/12/3,4000,上海
2009/12/4,4000,上海
2009/12/7,4000,上海
2009/12/8,4000,上海
2009/12/9,4000,上海
2009/12/10,4000,上海
2009/12/11,4000,上海
2009/12/14,4000,上海
2009/12/15,4000,上海
2009/12/16,4000,上海
2009/12/17,4000,上海
2009/12/18,4000,上海
2009/12/21,4050,上海
2009/12/22,4070,上海
2009/12/23,4070,上海
2009/12/24,4100,上海
2009/12/25,4100,上海
2009/12/28,4150,上海
2009/12/29,4150,上海
2009/12/30,4150,上海
2009/12/31,4150,上海
2010/1/4,4200,上海
2010/1/5,4200,上海
2010/1/6,4230,上海
2010/1/7,4230,上海
2010/1/8,4230,上海
2010/1/11,4250,上海
2010/1/12,4250,上海
2010/1/13,4250,上海
2010/1/14,4250,上海
2010/1/15,4250,上海
2010/1/18,4250,上海
2010/1/19,4250,上海
2010/1/20,4250,上海
2010/1/21,4250,上海
2010/1/22,4250,上海
2010/1/25,4250,上海
2010/1/26,4250,上海
2010/1/27,4250,上海
2010/1/28,4250,上海
2010/1/29,4250,上海
2010/2/1,4250,上海
2010/2/2,4250,上海
2010/2/3,4250,上海
2010/2/4,4250,上海
